dates,India.Google_GroceryMobility.data,India.Google_ResidentialMobility.data,India.Google_TransitStationsMobility.data,India.Google_ParksMobility.data,India.Google_WorkplacesMobility.data,India.Google_RetailMobility.data
2020-05-08,79.84,121.85,54.111111111111114,53.48275862068966,63.233333333333334,28.526315789473685
2020-05-09,72.07692307692308,119.33333333333333,52.19230769230769,52.193548387096776,66.8,26.235294117647058
2020-05-10,67.92592592592592,116.875,48.03703703703704,48.65625,79.28571428571429,23.789473684210527
2020-05-11,82.21739130434783,119.0952380952381,55.925925925925924,57.1875,64.82758620689656,29.65
2020-05-12,83.61538461538461,119.5,60.48275862068966,60.0625,66.23333333333333,30.823529411764707
2020-05-13,82.96551724137932,118.84210526315789,61.03448275862069,61.0,66.58064516129032,30.761904761904763
2020-05-14,82.2,118.52380952380952,61.888888888888886,60.35294117647059,67.03225806451613,31.57894736842105
2020-05-15,88.8,119.8,64.96428571428571,61.4,71.19354838709677,33.285714285714285
2020-05-16,84.34615384615384,119.11111111111111,65.03846153846153,63.61290322580645,76.44444444444444,31.818181818181817
2020-05-17,78.23076923076923,115.25,60.09090909090909,54.970588235294116,88.85185185185185,30.31578947368421
2020-05-18,88.92,118.52380952380952,64.85185185185185,61.0625,72.28571428571429,34.8
2020-05-19,86.13793103448276,117.23809523809524,66.33333333333333,60.87096774193548,70.92857142857143,34.78947368421053
2020-05-20,87.64285714285714,117.05,66.0,60.375,71.65517241379311,34.13636363636363
2020-05-21,87.48148148148148,117.82352941176471,62.30769230769231,61.41935483870968,68.8,33.04545454545455
2020-05-22,93.03571428571429,117.38888888888889,69.03846153846153,62.86666666666667,72.6774193548387,36.10526315789474
2020-05-23,92.92592592592592,115.83333333333333,77.19047619047619,61.705882352941174,76.46428571428571,36.578947368421055
2020-05-24,83.56,113.93333333333334,64.6,60.38709677419355,93.53846153846153,31.57894736842105
2020-05-25,87.65517241379311,119.36842105263158,65.88,64.24242424242425,61.69230769230769,35.95238095238095
2020-05-26,93.22222222222223,115.11111111111111,72.29166666666667,69.0,74.61538461538461,38.526315789473685
2020-05-27,93.10714285714286,116.22222222222223,70.84615384615384,63.193548387096776,74.4,35.95238095238095
2020-05-28,94.42857142857143,116.0,70.92592592592592,67.82142857142857,74.4074074074074,38.05
2020-05-29,99.29629629629629,117.05263157894737,77.18181818181819,65.89655172413794,78.46666666666667,39.26315789473684
2020-05-30,97.69565217391305,114.53333333333333,76.58333333333333,62.96774193548387,86.60714285714286,39.5
2020-05-31,85.6923076923077,113.3076923076923,69.52173913043478,57.73529411764706,101.38095238095238,35.63157894736842
2020-06-01,103.79166666666667,113.82352941176471,74.82142857142857,66.71875,79.25925925925925,42.8
2020-06-02,101.03703703703704,114.625,75.34615384615384,65.87096774193549,78.41379310344827,41.3
2020-06-03,102.4090909090909,115.52941176470588,76.88461538461539,65.38235294117646,79.42307692307692,40.04545454545455
2020-06-04,100.3103448275862,114.6875,76.74074074074075,64.78125,78.92592592592592,42.76470588235294
2020-06-05,107.6086956521739,115.375,79.66666666666667,65.97058823529412,81.92307692307692,43.714285714285715
2020-06-06,99.82142857142857,113.25,79.54166666666667,65.19354838709677,89.54166666666667,43.61904761904762
2020-06-07,93.03703703703704,111.64285714285714,74.0,60.90909090909091,99.76,40.36363636363637
2020-06-08,107.4,112.94117647058823,80.15384615384616,68.18181818181819,82.53846153846153,47.0
2020-06-09,104.10344827586206,113.05882352941177,78.66666666666667,68.0625,82.43478260869566,44.833333333333336
2020-06-10,109.8,112.625,79.93103448275862,68.60606060606061,81.5,47.0
2020-06-11,105.64285714285714,114.0,77.22222222222223,67.8125,82.0,49.5
2020-06-12,111.4375,113.15789473684211,82.73076923076923,68.24137931034483,84.33333333333333,48.95454545454545
2020-06-13,105.03571428571429,113.38461538461539,78.07407407407408,69.06451612903226,83.6923076923077,46.85
2020-06-14,95.78125,111.93333333333334,73.67857142857143,69.6896551724138,98.56,42.80952380952381
2020-06-15,110.07142857142857,112.875,79.35714285714286,68.03125,80.42307692307692,49.26086956521739
2020-06-16,108.14285714285714,113.5625,79.25925925925925,69.91176470588235,81.29629629629629,49.904761904761905
2020-06-17,107.41379310344827,113.13333333333334,79.15384615384616,65.93939393939394,84.21739130434783,48.5
2020-06-18,101.96551724137932,113.75,75.96296296296296,66.71875,79.25925925925925,47.36363636363637
2020-06-19,109.62962962962963,113.94117647058823,79.25925925925925,67.88235294117646,82.28,50.6
2020-06-20,105.22222222222223,112.88235294117646,80.78571428571429,67.67647058823529,89.04,47.95238095238095
2020-06-21,80.6,114.05882352941177,68.6086956521739,60.484848484848484,93.70833333333333,39.05555555555556
2020-06-22,115.08333333333333,113.82352941176471,80.96296296296296,69.74193548387096,82.26923076923077,52.142857142857146
2020-06-23,109.41935483870968,112.75,81.46428571428571,72.7,81.6,51.69565217391305
2020-06-24,108.26666666666667,112.0625,81.24137931034483,67.45454545454545,82.16,50.5
2020-06-25,103.57692307692308,114.16666666666667,78.89285714285714,68.0,81.64,49.130434782608695
2020-06-26,108.65517241379311,112.94444444444444,83.0,70.0,83.25,51.0
2020-06-27,106.25925925925925,113.41176470588235,81.07407407407408,70.74193548387096,84.0,47.95454545454545
2020-06-28,91.96666666666667,110.93333333333334,75.2,62.75757575757576,96.125,43.8
2020-06-29,109.1923076923077,113.5,80.22222222222223,71.7741935483871,81.46428571428571,51.916666666666664
2020-06-30,108.60714285714286,113.11764705882354,81.68,71.875,81.73913043478261,54.36363636363637
2020-07-01,112.15384615384616,111.77777777777777,80.17857142857143,67.58620689655173,81.03846153846153,53.19047619047619
2020-07-02,107.18518518518519,113.38888888888889,82.68,71.48387096774194,81.12,53.08695652173913
2020-07-03,112.0,113.38888888888889,83.03571428571429,72.12903225806451,83.39285714285714,53.869565217391305
2020-07-04,106.16,112.70588235294117,84.58333333333333,66.85714285714286,88.22222222222223,51.34782608695652
2020-07-05,77.14814814814815,112.95,71.33333333333333,63.55882352941177,94.8076923076923,44.26086956521739
2020-07-06,111.96551724137932,113.21052631578948,84.08333333333333,70.4375,82.1923076923077,55.65217391304348
2020-07-07,108.23076923076923,112.47368421052632,82.33333333333333,72.65625,82.3076923076923,54.95652173913044
2020-07-08,108.07142857142857,113.05263157894737,78.4074074074074,69.06896551724138,81.96153846153847,50.592592592592595
2020-07-09,105.35714285714286,114.22222222222223,79.5,69.16129032258064,81.46153846153847,53.35
2020-07-10,107.7741935483871,113.94444444444444,82.42307692307692,71.25806451612904,85.52,52.54545454545455
2020-07-11,99.90625,114.07142857142857,79.23076923076923,69.83870967741936,82.36,48.76
2020-07-12,74.79310344827586,112.23529411764706,68.44444444444444,64.8125,92.37037037037037,41.65384615384615
2020-07-13,105.12903225806451,113.6470588235294,76.07692307692308,69.90625,80.125,52.0
